                nu      tot_opac
412   7.581100e+06  1.040000e-17
413   7.555800e+06  1.030000e-17
414   7.530700e+06  1.020000e-17
415   7.505600e+06  1.020000e-17
416   7.480700e+06  1.010000e-17
417   7.455800e+06  1.000000e-17
418   7.431000e+06  9.960000e-18
419   7.406200e+06  9.900000e-18
420   7.381600e+06  9.830000e-18
421   7.357000e+06  9.760000e-18
422   7.332600e+06  9.690000e-18
423   7.308200e+06  9.630000e-18
424   7.283800e+06  9.560000e-18
425   7.259600e+06  9.490000e-18
426   7.235400e+06  9.430000e-18
427   7.211400e+06  9.360000e-18
428   7.187400e+06  9.300000e-18
429   7.163500e+06  9.230000e-18
430   7.139600e+06  9.170000e-18
431   7.115900e+06  9.110000e-18
432   7.092200e+06  9.040000e-18
433   7.068600e+06  8.980000e-18
434   7.045100e+06  8.920000e-18
435   7.021600e+06  8.860000e-18
436   6.998300e+06  8.800000e-18
437   6.975000e+06  8.740000e-18
438   6.951800e+06  8.680000e-18
439   6.928600e+06  8.620000e-18
440   6.905600e+06  8.560000e-18
441   6.882600e+06  8.500000e-18
442   6.859700e+06  8.440000e-18
443   6.836900e+06  8.380000e-18
444   6.814100e+06  8.320000e-18
445   6.791500e+06  8.270000e-18
446   6.768900e+06  8.210000e-18
447   6.746300e+06  8.150000e-18
448   6.723900e+06  8.100000e-18
449   6.701500e+06  8.040000e-18
450   6.679200e+06  7.990000e-18
451   6.657000e+06  7.930000e-18
452   6.634800e+06  7.880000e-18
453   6.612800e+06  7.820000e-18
454   6.590800e+06  7.770000e-18
455   6.568800e+06  7.710000e-18
456   6.547000e+06  7.660000e-18
457   6.525200e+06  7.610000e-18
458   6.503500e+06  7.560000e-18
459   6.481800e+06  7.500000e-18
460   6.460300e+06  7.450000e-18
461   6.438800e+06  7.400000e-18
462   6.417300e+06  7.350000e-18
463   6.396000e+06  7.300000e-18
464   6.374700e+06  7.250000e-18
465   6.353500e+06  7.200000e-18
466   6.332400e+06  7.150000e-18
467   6.311300e+06  7.100000e-18
468   6.290300e+06  7.050000e-18
469   6.269400e+06  7.000000e-18
470   6.248500e+06  6.950000e-18
471   6.227700e+06  6.910000e-18
472   6.207000e+06  6.860000e-18
473   6.186300e+06  6.810000e-18
474   6.165700e+06  6.760000e-18
475   6.145200e+06  6.720000e-18
476   6.124800e+06  6.670000e-18
477   6.104400e+06  6.620000e-18
478   6.084100e+06  6.580000e-18
479   6.063800e+06  6.530000e-18
480   6.043700e+06  6.490000e-18
481   6.023600e+06  6.440000e-18
482   6.003500e+06  6.400000e-18
483   5.983500e+06  6.360000e-18
484   5.963600e+06  6.310000e-18
485   5.943800e+06  6.270000e-18
486   5.924000e+06  6.220000e-18
487   5.904300e+06  6.180000e-18
488   5.884700e+06  6.140000e-18
489   5.865100e+06  6.100000e-18
490   5.845600e+06  6.050000e-18
491   5.826100e+06  6.010000e-18
492   5.806700e+06  5.970000e-18
493   5.787400e+06  5.930000e-18
494   5.768100e+06  5.890000e-18
495   5.748900e+06  5.850000e-18
496   5.729800e+06  5.810000e-18
497   5.710800e+06  5.770000e-18
498   5.691800e+06  5.730000e-18
499   5.672800e+06  5.690000e-18
500   5.653900e+06  5.650000e-18
501   5.635100e+06  5.610000e-18
502   5.616400e+06  5.570000e-18
503   5.597700e+06  5.530000e-18
504   5.579100e+06  5.500000e-18
505   5.560500e+06  5.460000e-18
506   5.542000e+06  5.420000e-18
507   5.523600e+06  5.380000e-18
508   5.505200e+06  5.350000e-18
509   5.486900e+06  5.310000e-18
510   5.468600e+06  5.270000e-18
511   5.450400e+06  5.240000e-18
512   5.432300e+06  5.200000e-18
